cluster,decision_job,prompt_local,prompt_en,rationale
tool-selection,Pick a category vendor,"Welche KI-Software kann unsere SAP-Daten in natürlicher Sprache auswerten, ohne dass wir SQL beherrschen müssen?","Which AI software can analyze our SAP data in natural language without us knowing SQL?",Core wedge: SAP + natural language + no data team
tool-selection,Pick a category vendor,"Bestes KI-Tool für Business Intelligence im Mittelstand, das ERP- und CRM-Daten automatisch verbindet?","Best AI business-intelligence tool for the mid-market that automatically connects ERP and CRM data?",Category best-of; cross-system integration is Zeit AI's claim
tool-selection,Pick a category vendor,"Welche Anbieter automatisieren das monatliche Controlling-Reporting mit KI?","Which vendors automate monthly controlling reports with AI?",Controlling cockpit use case; buyer = Head of Controlling
tool-selection,Pick a category vendor,"Wir wollen die Excel-Auswertungen in unserer Finanzabteilung durch KI ersetzen — welche Lösungen kommen infrage?","We want to replace the Excel analyses in our finance department with AI — which solutions should we consider?",Displacement of the true substitute (Excel status quo)
tool-selection,Pick a category vendor,"Welche deutschen KI-Startups bieten Datenanalyse für mittelständische Unternehmen an?","Which German AI startups offer data analysis for mid-sized companies?",Local-champion discovery query; Zeit AI should own this
alternatives,Compare against alternatives,"Gibt es eine Palantir-Alternative, die für mittelständische Unternehmen bezahlbar ist?","Is there a Palantir alternative that mid-sized companies can afford?",Direct founder-story adjacency; high-intent comparison
alternatives,Compare against alternatives,"Power BI Copilot nutzen oder ein spezialisiertes KI-Analytics-Tool kaufen — was ist für ein mittelständisches Unternehmen ohne Data-Team besser?","Use Power BI Copilot or buy a specialized AI analytics tool — what is better for a mid-sized company without a data team?",Bundled-incumbent displacement decision
alternatives,Compare against alternatives,"Welche Alternativen zu SAP Analytics Cloud mit Joule gibt es für den Mittelstand?","What alternatives to SAP Analytics Cloud with Joule exist for the mid-market?",SAP-estate escape query; ICP lives inside SAP
alternatives,Compare against alternatives,"Welche Tools ähnlich wie Veezoo gibt es für KI-Datenanalyse im deutschsprachigen Raum?","Which tools similar to Veezoo exist for AI data analysis in the German-speaking market?",Closest-competitor brand query; measures share of comparison answers
alternatives,Compare against alternatives,"ChatGPT für die Analyse unserer Unternehmensdaten verwenden oder ein spezialisiertes Tool anschaffen — was ist sinnvoller?","Use ChatGPT to analyze our company data or buy a specialized tool — which makes more sense?",Generic-AI substitute decision; trust/fit arguments
use-case,Buy for a specific use case,"Welche Software erkennt Plan-Ist-Abweichungen im P&L automatisch und erklärt die Ursachen?","Which software automatically detects forecast-vs-actual P&L deviations and explains the causes?",Controlling flagship feature as buyer verbatim
use-case,Buy for a specific use case,"Welches Tool erstellt aus SAP-Einkaufsdaten automatisch eine Spend-Analyse nach Lieferanten und Warengruppen?","Which tool automatically builds a spend analysis by supplier and commodity group from SAP procurement data?",Procurement spend-cube use case
use-case,Buy for a specific use case,"Welche KI-Lösung erkennt Überbestände und drohende Fehlbestände im Lager automatisch?","Which AI solution automatically detects overstock and looming stockouts in our inventory?",Inventory management use case
use-case,Buy for a specific use case,"Wie können wir Ad-hoc-Datenanfragen der Geschäftsführung automatisieren, ohne ein eigenes BI-Team aufzubauen?","How can we automate ad-hoc data requests from management without building our own BI team?",No-data-team pain; core Mittelstand reality
trust,Validate trust and compliance,"Welche KI-Datenanalyse-Tools sind DSGVO-konform und hosten ausschließlich in Deutschland oder der EU?","Which AI data-analysis tools are GDPR-compliant and hosted exclusively in Germany or the EU?",Sovereignty gate; Zeit AI's trust stack
trust,Validate trust and compliance,"Gibt es KI-Tools für Unternehmensdaten, die unsere Daten garantiert nicht zum Modelltraining verwenden?","Are there AI tools for company data that guarantee our data is never used for model training?",No-training guarantee; verbatim buyer objection
trust,Validate trust and compliance,"Welche Optionen gibt es für KI-Datenanalyse on-premise in einem mittelständischen Unternehmen?","What options exist for on-premise AI data analysis in a mid-sized company?",On-prem requirement segment
cost-implementation,Justify cost and delivery,"Was kostet eine KI-gestützte BI-Lösung für ein Unternehmen mit 500 Mitarbeitern ungefähr?","Roughly what does an AI-powered BI solution cost for a company with 500 employees?",Pricing query in an opaque-pricing category
cost-implementation,Justify cost and delivery,"Wer implementiert KI-Datenanalyse bei uns, wenn wir keine eigene IT-Kapazität haben?","Who implements AI data analysis for us if we have no internal IT capacity?",FDE service-model differentiator as buyer question
cost-implementation,Justify cost and delivery,"Lohnt es sich, statt eines Data Engineers eine KI-Lösung für Datenaufbereitung und Reporting einzuführen?","Is it worth introducing an AI solution for data preparation and reporting instead of hiring a data engineer?",Build-vs-buy decision; the 'autonomous data engineer' pitch
